,num,date,title,개월 수 추측어려움,group,month,text
0,1,2019.10.22. 17:52,비지엔젤 젖병이랑 유피스 신제품 젖꼭지,물품(젖병문의),5,,호환해서 쓰는 분 있나요?더블하트에 호환해서 쓰는데비싸고 일본꺼라서요유피스 신제품 젖꼭지가미니노어에는 안맞더라구요 흡착되고ㅠㅠ
1,2,2019.10.22. 17:51,뉴위드맘 무항생제위드맘,물품(분유문의),5,,두개 차이 아시는 분..? 지금 무항생제 위드맘 1단계 먹이는 중인데갑자기 2일 1똥싸네요ㅠㅠ 유산균도 따로 먹이는데도 그래요괜찮은건가요? 똥쌀때 힘들어보이진 않아요
2,3,2019.10.22. 17:50,안녕하세요 잘 안먹는아이 분유추천좀요,,3,5개월,5개월에 막 들어섰어요50일째때까지만 해도 엄청 잘먹었는데이후 70일 백일.. 먹는양이 계속 줄어요지금도 많이 먹어야 총량 700이고 800을 넘겨본적이없어요 ㅠㅠ오늘 검진다녀왔는데 아가가 작기도 작고천미리는 먹여야한다고 노력하라고 하시더라구요..배앓이로 센서티브먹이다 살찌우려고 코알라로갈아탔거든요 그래도 잘 먹진않네요..매일 180씩 타지만 130에서 170먹구요하루 다섯번 먹습니당.. 4시간텀이예요개인적으로 잘먹었던 분유좀 추천부탁드려요추천해보고 얘기해주시면 고려해서 분유선택을하고싶어요 부탁드립니다 엄마들~!!
3,4,2019.10.22. 17:49,수유양좀 알려주세요~~,,2,1개월,57일아가이고 5.4kg 혼합이예요 최대한 낮에 직수하려하는데 새벽에는 많이 빠는데 낮에는 물고만잇지 거의 빨지않아요 너무안먹는다싶어서 분유 먹이긴하는데 보통 몇미리 먹이시나요 잠도안자서 하루종일 물리고잇네요ㅠ
4,5,2019.10.22. 17:49,"살 ""안""찌는 분유 좀 추천 해 주세요. ",,2,2개월,제목 그대로 살찌는 분유 말구요 살 '안'찌는 분유 좀 추천 해 주세요. 오늘 예방접종하러 병원갔더니 이제 70일인데 몸무게가 7키로에요. 키는 61cm로 평균이더라구요. 워낙 먹성좋은 아기라 잘 먹어요. (지금 170~180) 그래도 수유텀은 3시간~4시간 지키고 어떤때는 5시간 잘 때도 있거든요. 분유량은 도저히 줄이지는 못하겠어요 ㅠㅠ 충분히 못먹으면 울고불고 경기일으킬정도로 자지러지거든요. 좀 살 안찌는 분유 없을까요?
5,6,2019.10.22. 17:48,모유수유 중 독감주사 맞아도 되나요?,예방접종(독감주사문의),5,,주사는 괜찮죠?
6,7,2019.10.22. 17:45,유축,유축시간간격,5,,보통 유축 몇시간애 한번씩 하시나요 ? 완모하신 어머님들 궁금해용
7,8,2019.10.22. 17:45,35일차 모유시 한쪽만 먹기ㆍ글고 짜증내요,,2,1개월,"현제 35일차고둘다를 빨면 양 괜챠는것도 같은데.각 70미리 정도?요즘엔 한쪽 중심으로 빠는 현상예요글고 배고파하는 느낌이;;;;(짧은 낮잠, 먹다 8분쯤 짜증 ㆍ울기)이모님이 한번 제가 자는중에분유 보충시 100가까이먹는다는데ㅡㅡ먼가 빠는게 귀챠나선가?유두혼동 인가? 별생각다 해는데요...(쪽쪽이도 암 생각없이 생후 28일부터 시작)어제 소아과 의사는 쿨하게 괜챤다부족할 시 분유먹여라 하네요결론은한쪽만 중심으로 빨고 다른쪽 빨다 뱉거나 우는게이상해서 지켜보는 중예요ㅠ 이유가 멀까요ㅠㅜ"
8,9,2019.10.22. 17:38,혼합수유에서 분유수유만 하려면 어떻게 해야하나요?,분유수유방법,5,,"혼합으로 해서 소화 안될까봐 하루에 4번정도 분유보충해요. 집 체중계로 재봤을때(애기안은 몸무게-내 몸무게=아기몸무게)일주일만에 500그람이 늘었는데 너무 시도때도 없이 모유를 줘서 그런가, 이렇게 달라그럴때마다 먹여도 되나 싶어요.멱은지 얼마 안됐는데 또 주고 또 줘도 되는건지..대부분 애기들이 그렇겠지만 조금이라도 배가 안차면 울고불고 난리라서 지금도 거의 한시간째 젖 물리고 있어요..그래서 그냥 텀이 좀 확실하게 계산되는 분유수유로 바꿀까 마음이 심히 오락가락 하거든요ㅠ혼합에서 분유만으로 하려면 그냥 모유수유 횟수 줄이고 그 대신 분유한번 섭취량 계산해서 주면 되는걸까요?"
9,10,2019.10.22. 17:37,젖꼭지 사이즈,,2,2개월,71일 남아에요 35일쯤부터 s 사이즈 사용 했구요 요즘 맘마먹으면서 용쓰기도 많이하고 젖꼭지를 오물오물 씹고 장난쳐요 오늘은 ㅠㅠ 짜증을 엄청 내면서 먹더라구요 보통 그러면 사이즈를 바꿔주라는데 아직 ㅠㅠ 옆으로 조금씩 세는거보면 잘 나오는거 같고 꿀꺽꿀꺽 하는데 ㅠ 먹는 시간이 더 오래걸리네요 젖꼭지 사이즈 바꿔야하나요 모유실감 쓰고 있어요
