,문서번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중(gamma),각 토픽의 비중
0,0,5.0,0.958,"[(5, 0.9580417)]"
1,1,11.0,0.8974,"[(11, 0.8974352)]"
2,2,11.0,0.9487,"[(11, 0.94871765)]"
3,3,5.0,0.9702,"[(5, 0.9702232)]"
4,4,1.0,0.929,"[(1, 0.92899364)]"
5,5,0.0,0.9775,"[(0, 0.97748584)]"
6,6,5.0,0.9736,"[(5, 0.9736262)]"
7,7,5.0,0.9785,"[(5, 0.9785329)]"
8,8,10.0,0.9658,"[(10, 0.96581167)]"
9,9,11.0,0.9658,"[(11, 0.96581185)]"
10,10,0.0,0.9615,"[(0, 0.9615383)]"
11,11,5.0,0.9538,"[(5, 0.9538457)]"
12,12,11.0,0.9231,"[(11, 0.92307615)]"
13,13,8.0,0.9077,"[(8, 0.9076915)]"
14,14,5.0,0.929,"[(5, 0.92899394)]"
15,15,9.0,0.9538,"[(9, 0.9538457)]"
16,16,4.0,0.9808,"[(4, 0.98076916)]"
17,17,5.0,0.967,"[(5, 0.9670328)]"
18,18,0.0,0.958,"[(0, 0.9580418)]"
19,19,0.0,0.9599,"[(0, 0.95986605)]"
20,20,9.0,0.9077,"[(9, 0.90769196)]"
21,21,3.0,0.958,"[(3, 0.9580417)]"
22,22,11.0,0.9538,"[(11, 0.95384586)]"
23,23,12.0,0.9631,"[(12, 0.96307665)]"
24,24,1.0,0.9457,"[(1, 0.9457011)]"
25,25,9.0,0.7692,"[(0, 0.01923077), (1, 0.019230863), (2, 0.019230843), (3, 0.019230803), (4, 0.019230818), (5, 0.01923082), (6, 0.01923077), (7, 0.01923077), (8, 0.01923077), (9, 0.7692304), (10, 0.01923077), (11, 0.019230817), (12, 0.01923077)]"
26,26,2.0,0.956,"[(2, 0.9560436)]"
27,27,9.0,0.9231,"[(9, 0.9230767)]"
28,28,11.0,0.9161,"[(11, 0.9160835)]"
29,29,5.0,0.4847,"[(0, 0.010989134), (1, 0.010989039), (2, 0.010989103), (3, 0.010989097), (4, 0.01098901), (5, 0.48469687), (6, 0.01098901), (7, 0.01098901), (8, 0.010989037), (9, 0.010989086), (10, 0.39442334), (11, 0.0109891305), (12, 0.010989134)]"
30,30,9.0,0.9514,"[(9, 0.95141673)]"
31,31,9.0,0.8974,"[(9, 0.89743507)]"
32,32,5.0,0.9514,"[(5, 0.9514166)]"
33,33,12.0,0.9161,"[(12, 0.91608316)]"
34,34,11.0,0.9514,"[(11, 0.9514166)]"
35,35,5.0,0.7192,"[(0, 0.24697718), (5, 0.7191764)]"
36,36,11.0,0.9631,"[(11, 0.96307665)]"
37,37,10.0,0.9161,"[(10, 0.9160836)]"
38,38,10.0,0.958,"[(10, 0.9580417)]"
39,39,3.0,0.9077,"[(3, 0.90769166)]"
40,40,0.0,0.8462,"[(0, 0.846153), (1, 0.012820643), (2, 0.012820527), (3, 0.012820684), (4, 0.012820573), (5, 0.01282063), (6, 0.012820513), (7, 0.01282059), (8, 0.01282056), (9, 0.012820554), (10, 0.012820602), (11, 0.012820587), (12, 0.012820546)]"
41,41,12.0,0.9385,"[(12, 0.93846124)]"
42,42,3.0,0.9744,"[(3, 0.97435886)]"
43,43,11.0,0.8681,"[(0, 0.010989105), (1, 0.010989021), (2, 0.010989078), (3, 0.010989053), (4, 0.010989035), (5, 0.010989145), (6, 0.010989011), (7, 0.010989011), (8, 0.010989021), (9, 0.010989064), (10, 0.010989069), (11, 0.8681313), (12, 0.010989072)]"
44,44,5.0,0.9682,"[(5, 0.96816957)]"
45,45,7.0,0.9682,"[(7, 0.96816957)]"
46,46,8.0,0.987,"[(8, 0.98699886)]"
47,47,12.0,0.8974,"[(12, 0.8974354)]"
48,48,0.0,0.9231,"[(0, 0.9230761)]"
49,49,3.0,0.9487,"[(3, 0.9487174)]"
50,50,9.0,0.8974,"[(9, 0.8974349)]"
51,51,10.0,0.9385,"[(10, 0.93846107)]"
52,52,0.0,0.7089,"[(0, 0.70888054), (5, 0.22060622)]"
53,53,0.0,0.9658,"[(0, 0.9658116)]"
54,54,9.0,0.8462,"[(0, 0.012820617), (1, 0.012820539), (2, 0.012820608), (3, 0.012820616), (4, 0.012820513), (5, 0.012820684), (6, 0.012820513), (7, 0.012820524), (8, 0.012820532), (9, 0.8461531), (10, 0.012820608), (11, 0.012820617), (12, 0.012820552)]"
55,55,11.0,0.9631,"[(11, 0.9630767)]"
56,56,5.0,0.9682,"[(5, 0.9681695)]"
57,57,1.0,0.9712,"[(1, 0.9711537)]"
58,58,1.0,0.9341,"[(1, 0.9340654)]"
59,59,11.0,0.9341,"[(11, 0.93406564)]"
